Rata de recunoastere
 ,norma,1,2,inf,cos
k
20, ,0.9375,0.9375,0.8,0.95
40, ,0.9375,0.9375,0.8,0.95
60, ,0.95,0.9375,0.8,0.95
80, ,0.95,0.9375,0.8,0.95
