Rata de recunoastere
 ,norma,1,2,inf,cos
k
1, ,0.9625,0.95,0.2375,0.925
3, ,0.975,0.9375,0.225,0.8875
5, ,0.9625,0.9375,0.2375,0.925
7, ,0.925,0.925,0.2375,0.9375
9, ,0.8625,0.8125,0.2,0.9
