Timpul de preprocesare
 ,norma,1,2,inf,cos
k
20, ,0.005516,0.010837,0.016141,0.021527
40, ,0.005516,0.010837,0.016141,0.021527
60, ,0.005516,0.010837,0.016141,0.021527
80, ,0.005516,0.010837,0.016141,0.021527
