Timpul de preprocesare
 ,norma,1,2,inf,cos
k
20, ,0.0113,0.022,0.0322,0.0427
40, ,0.0113,0.022,0.0322,0.0427
60, ,0.0113,0.022,0.0322,0.0427
80, ,0.0113,0.022,0.0322,0.0427
