Timpul mediu de interogare
 ,norma,1,2,inf,cos
k
20, ,0.0024119824171066283,0.01229451596736908,0.021694353222846983,0.03412509560585022
40, ,0.004921329021453857,0.014493235945701599,0.02449486553668976,0.03806847333908081
60, ,0.007489165663719178,0.016737639904022217,0.027336904406547548,0.04197918772697449
80, ,0.01016102135181427,0.01899115741252899,0.030213108658790587,0.0461010605096817
