Rata de recunoastere
 ,norma,1,2,inf,cos
k
20, ,0.8125,0.7375,0.5375,0.7125
40, ,0.8625,0.7375,0.5375,0.7125
60, ,0.8625,0.7375,0.5375,0.7125
80, ,0.8625,0.7375,0.5375,0.7125
