Timpul de preprocesare
 ,norma,1,2,inf,cos
k
20, ,0.0003,0.0007,0.001,0.0013
40, ,0.0003,0.0007,0.001,0.0013
60, ,0.0003,0.0007,0.001,0.0013
80, ,0.0003,0.0007,0.001,0.0013
